pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	18746
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	56421
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	14433
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	11674
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	18141
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	223921
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	18641
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	72787
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	26384
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	14751
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	69736
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	269113
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	15275
Glycolysis	0.0016207455429497568	0.0291934955800502	0.5771823917543902	2.14905909209959	0	48	433182
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	19361
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	12649
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	19363
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	69263
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	268465
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	12189
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	237911
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	68240
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	72151
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	19362
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	106344
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	26909
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	17535
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	327762
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	27015
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	19687
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	18973
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	225182
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	18972
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	80905
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	59001
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	224008
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	69745
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	18538
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	235559
HDR through Homologous Recombination (HRR)	0.0015600624024961	0.0291934955800502	0.6172762877513887	2.3545601766266033	0	52	12144
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	19361
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	12649
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	19363
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	69263
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	12189
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	237911
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	68240
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	72151
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	19362
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	106344
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	26909
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	17535
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	327762
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	225182
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	235559
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	12144
Homologous DNA Pairing and Strand Exchange	0.0017123287671232876	0.0291934955800502	0.6649700761377525	2.2407100860721734	0	31	19364
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	80876
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	11676
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	14190
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	53381
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12306
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16641
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20430
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	50498
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	107995
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16643
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12505
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20719
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12477
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	66141
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16184
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	14824
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16592
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16162
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	20527
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	231507
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19271
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	16185
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	15979
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	68713
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18648
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	15442
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	110095
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	24099
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	21936
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	15001
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	19053
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	73804
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	26934
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	22436
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	65256
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	18746
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12520
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	12043
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	13244
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	234779
Immune System	0.001072961373390558	0.0291934955800502	0.2924418834978364	1.5558191563898816	0	1028	26410
